country_name,life_expectancy,expected_schooling,mean_schooling,gni_percap_logged,v2x_polyarchy
Iceland,82.691,18,13.90892628,11.1435550934685,0.844
Norway,83.308,18,13.11796218,11.2252433925184,0.884
Switzerland,83.954,16.66753006,13.94912109,11.2252433925184,0.887
Denmark,81.933,18,13.0273206,11.2252433925184,0.916
Germany,81.378,17.30921936,14.29637163,11.0674695986442,0.854
Sweden,83.262,18,12.74032574,11.0989555828305,0.881
Australia,83.923,18,12.86999989,10.9729606629566,0.855
Hong Kong,85,16.89586067,12.35000038,11.1481572452209,0.154
Netherlands,82.158,18,12.66994689,11.1323135652392,0.843
Belgium,82.115,18,12.68965045,11.0600931665474,0.898
Ireland,82.412,18,11.72499956,11.2252433925184,0.895
Finland,81.91,18,12.97962547,10.9519924561552,0.865
Singapore,83.736,16.74227905,11.98999977,11.2252433925184,0.403
United Kingdom,81.302,17.81106949,13.48999977,10.9035969864662,0.847
United Arab Emirates,82.909,15.60159016,12.98999977,11.1724374423631,0.102
Canada,82.63,15.88825989,13.86999989,10.9094072162622,0.848
Liechtenstein,83.63,15.41257954,12.40995938,11.2252433925184,
New Zealand,82.088,18,12.88299807,10.7634111158767,0.878
United States of America,79.304,15.92300034,13.90999985,11.2070798396775,0.843
South Korea,84.329,16.6186409,12.72219869,10.8142923294389,0.733
Slovenia,81.603,17.47717094,12.95120192,10.7442097215901,0.757
Austria,81.956,16.28428078,12.36146506,11.0584677049659,0.846
Japan,84.712,15.51198006,12.68404671,10.7742496001583,0.828
Malta,83.299,15.90985012,12.4207021,10.8619767686378,0.778
Luxembourg,82.229,14.35795021,12.58937195,11.2252433925184,0.874
France,83.325,16.09511948,11.7656677,10.9161816915147,0.876
Israel,82.408,14.93416023,13.53459474,10.7799997403062,0.72
Spain,83.67,17.83031082,10.75612495,10.7365801849367,0.85
Czechia,79.834,16.7935009,12.96318214,10.7339810212134,0.869
Italy,83.716,16.71419907,10.82812827,10.8664496924575,0.816
San Marino,85,14.59976717,11.35999966,11.0776150162833,
Andorra,84.041,14.54279041,11.60999966,11.0764506097139,
Cyprus,81.648,16.21559906,12.5573721,10.7231386587843,0.778
Greece,81.857,18,11.55385642,10.4846061784528,0.74
Poland,78.633,16.67827988,13.20854242,10.6505933695765,0.59
Estonia,79.153,15.96786022,13.56216597,10.6184189848925,0.895
Saudi Arabia,78.732,16.94943047,11.60642778,10.8257387580415,0.015
Bahrain,81.284,15.92718983,11.13000011,10.874622379457,0.124
Lithuania,76.025,16.45467949,13.61069239,10.6434340069961,0.788
Portugal,82.36,17.48682022,9.703254412,10.6228852943807,0.851
Croatia,78.58,16.34815025,12.0951217,10.6305502995319,0.744
Latvia,76.19,16.48265076,13.40943983,10.5452841299611,0.847
Qatar,82.368,13.14116001,10.77000046,11.2252433925184,0.086
Slovakia,78.341,14.94684982,13.10320397,10.5130625826356,0.817
Chile,81.167,16.91242027,11.29105394,10.2416430074645,0.837
Hungary,77.024,15.46940041,12.33162229,10.525033318209,0.437
Argentina,77.395,18,11.18458184,10.161073228097,0.838
Montenegro,77.087,15.53652954,12.77392572,10.2408997187137,0.587
Uruguay,78.138,17.4839592,10.53999996,10.2629025088601,0.834
Oman,80.031,13.43931961,11.89000034,10.4939384770889,0.17
Türkiye,77.156,18,8.98624366,10.4489169202331,0.285
Kuwait,80.405,15.90424029,7.566007112,10.9439770858894,0.316
Antigua and Barbuda,77.598,15.50299899,11.64750004,10.2178061249313,
Seychelles,72.862,18,11.19995,10.2817540395693,0.738
Bulgaria,75.636,15.3166399,11.45453092,10.3789428577922,0.67
Romania,75.938,14.05288029,11.55000019,10.5808674228055,0.674
Georgia,74.496,16.75470924,12.69999981,9.94042537774789,0.583
Saint Kitts and Nevis,72.145,18,10.8494008,10.2786802889693,
Panama,79.594,13.3116098,10.83375095,10.4453631418379,0.725
Brunei Darussalam,75.327,13.69861984,9.282,11.2252433925184,
Kazakhstan,74.402,14.0086174,12.54717423,10.3413723646592,0.271
Costa Rica,80.799,16.34963687,8.844752499,10.0612266356221,0.859
Serbia,76.769,15.04216003,11.64171812,10.0482287962845,0.36
Russia,73.154,13.18515015,12.40999985,10.5769850256521,0.19
Belarus,74.434,13.71881008,12.33537298,10.1933499089405,0.157
Bahamas,74.552,11.89137971,12.81441904,10.3409253994224,
Malaysia,76.657,12.67639256,11.09000015,10.3906276071832,0.507
North Macedonia,77.395,14.78143978,10.22999954,10.0046168868077,0.568
Armenia,75.683,14.3838501,11.34497821,9.91446325800807,0.635
Barbados,76.178,16.6280018,9.92835689,9.76005129515055,0.792
Albania,79.602,14.51014996,10.17531099,9.77720945051287,0.507
Trinidad and Tobago,73.49,14.23764336,10.79275036,10.2035975194165,0.755
Mauritius,74.926,14.16282114,10.10332754,10.2139076497129,0.47
Bosnia and Herzegovina,77.85,13.16394043,10.97000027,9.89482442981499,0.504
Iran,77.654,13.96833061,10.84671198,9.68631188852948,0.154
Saint Vincent and the Grenadines,71.23,16.2530213,11.29534968,9.75537239416736,
Thailand,76.412,15.35883492,9.039999962,9.93158420674838,0.289
China,77.953,15.4787495,8.036181597,10.0001251477528,0.074
Peru,77.74,14.90939376,10.15465159,9.57071813590764,0.712
Grenada,75.205,16.57728919,9.446399307,9.57143748648964,
Azerbaijan,74.429,12.90977955,11.06999969,9.93633982292536,0.187
Mexico,75.069,14.46811008,9.349510934,9.99024561519439,0.549
Colombia,77.725,14.28641033,9.031581597,9.83445626977576,0.709
Brazil,75.848,15.7927103,8.425371752,9.79875381041473,0.789
Palau,69.269,14.06742382,13.29903477,9.68249857595788,
Moldova,71.198,14.63856847,11.82999992,9.67196789878948,0.709
Ukraine,73.422,13.32800961,11.12273899,9.73702819503315,0.387
Ecuador,77.392,14.85167027,8.970000267,9.54584049195937,0.639
Dominican Republic,73.72,13.61692047,9.444525756,9.99986582490827,0.683
